id,struct_id,meddra_name,meddra_code,level,llr,llr_threshold,drug_ae,drug_no_ae,no_drug_ae,no_drug_no_ae
13259491,2391,5'nucleotidase increased,10000028,PT,16.523,12.154,3,83156,3,111230065
13259492,34,5'nucleotidase increased,10000028,PT,19.443,16.234,3,31390,3,111281831
13259493,973,5-alpha-reductase deficiency,10000029,PT,38.767,12.403,6,32017,6,111281198
13259494,2475,5-alpha-reductase deficiency,10000029,PT,24.94,9.684,6,322473,6,110990742
13259495,824,Abdominal adhesions,10000050,PT,10.667,10.056,10,709390,5079,110598748
13259496,1055,Abdominal adhesions,10000050,PT,10.031,9.421,42,420766,5047,110887372
13259497,4975,Abdominal adhesions,10000050,PT,15.066,11.088,10,843484,5079,110464654
13259498,4978,Abdominal adhesions,10000050,PT,17.191,12.974,22,1355595,5067,109952543
13259499,4933,Abdominal adhesions,10000050,PT,15.101,13.702,4,583854,5085,110724284
13259500,2055,Abdominal adhesions,10000050,PT,11.382,10.41,15,69935,5074,111238203
13259501,4196,Abdominal adhesions,10000050,PT,14.27,10.11,86,994684,5003,110313454
13259502,2831,Abdominal adhesions,10000050,PT,14.844,9.832,19,86102,5070,111222036
13259503,419,Abdominal adhesions,10000050,PT,17.725,9.916,31,184972,5058,111123166
13259504,4904,Abdominal adhesions,10000050,PT,462.348,10.936,363,917178,4726,110390960
13259505,4982,Abdominal adhesions,10000050,PT,52.891,13.674,40,95680,5049,111212458
13259506,1710,Abdominal adhesions,10000050,PT,25.779,10.597,34,158639,5055,111149499
13259507,269,Abdominal adhesions,10000050,PT,75.576,9.513,78,280754,5011,111027384
13259508,4855,Abdominal adhesions,10000050,PT,11.958,11.083,17,85098,5072,111223040
13259509,5139,Abdominal adhesions,10000050,PT,12.135,11.528,24,157104,5065,111151034
